Date : 2022-06-13 17:35:45
Directory : c:\Users\Dodo\Desktop\Projeler\smartmoles-nest-backend
Total : 204 files,  23740 codes, 276 comments, 1071 blanks, all 25087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     17,220 |          8 |          3 |     17,231 |
| TypeScript         |        195 |      6,424 |        266 |      1,045 |      7,735 |
| Markdown           |          1 |         51 |          2 |         21 |         74 |
| JavaScript         |          1 |         24 |          0 |          1 |         25 |
| JSON with Comments |          1 |         21 |          0 |          1 |         22 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        204 |     23,740 |        276 |      1,071 |     25,087 |
| src                                                                                                                                         |        194 |      6,404 |        266 |      1,040 |      7,710 |
| src\controllers                                                                                                                             |         24 |      1,551 |         21 |        207 |      1,779 |
| src\controllers\centralUnit                                                                                                                 |          5 |        334 |          0 |         44 |        378 |
| src\controllers\contracts                                                                                                                   |          2 |        139 |          0 |         18 |        157 |
| src\controllers\hardwares                                                                                                                   |          6 |        379 |          4 |         48 |        431 |
| src\controllers\permission                                                                                                                  |          2 |        132 |          0 |         14 |        146 |
| src\controllers\pumps                                                                                                                       |          1 |         61 |          0 |          7 |         68 |
| src\controllers\subscription                                                                                                                |          1 |         88 |          0 |         12 |        100 |
| src\controllers\userNew                                                                                                                     |          1 |         98 |          0 |         14 |        112 |
| src\core                                                                                                                                    |         54 |      1,247 |         30 |        224 |      1,501 |
| src\core\abstracts                                                                                                                          |          3 |         62 |          0 |          8 |         70 |
| src\core\dtos                                                                                                                               |         25 |        869 |         13 |        119 |      1,001 |
| src\core\dtos\centralUnit                                                                                                                   |          5 |        255 |          2 |         45 |        302 |
| src\core\dtos\contracts                                                                                                                     |          2 |         53 |          0 |          6 |         59 |
| src\core\dtos\hardwares                                                                                                                     |          6 |        102 |          0 |         19 |        121 |
| src\core\dtos\logger                                                                                                                        |          1 |          9 |          0 |          2 |         11 |
| src\core\dtos\permissions                                                                                                                   |          2 |         37 |          0 |          6 |         43 |
| src\core\dtos\pumps                                                                                                                         |          1 |         32 |          0 |          3 |         35 |
| src\core\dtos\subscription                                                                                                                  |          1 |         47 |          0 |          3 |         50 |
| src\core\dtos\users                                                                                                                         |          1 |         61 |          0 |          2 |         63 |
| src\core\entities                                                                                                                           |         25 |        314 |         17 |         97 |        428 |
| src\core\entities\centralUnit                                                                                                               |          5 |         62 |          3 |         50 |        115 |
| src\core\entities\contracts                                                                                                                 |          2 |         24 |          0 |          4 |         28 |
| src\core\entities\hardwares                                                                                                                 |          6 |         44 |          0 |         13 |         57 |
| src\core\entities\logger                                                                                                                    |          1 |          9 |          0 |          1 |         10 |
| src\core\entities\permissions                                                                                                               |          2 |         15 |          0 |          3 |         18 |
| src\core\entities\pumps                                                                                                                     |          1 |         15 |          0 |          2 |         17 |
| src\core\entities\subscription                                                                                                              |          1 |         23 |          0 |          3 |         26 |
| src\core\entities\users                                                                                                                     |          1 |         30 |          0 |          5 |         35 |
| src\environment                                                                                                                             |          2 |         42 |          0 |          4 |         46 |
| src\frameworks                                                                                                                              |         28 |        965 |         27 |        140 |      1,132 |
| src\frameworks\data-services                                                                                                                |         28 |        965 |         27 |        140 |      1,132 |
| src\frameworks\data-services\mongo                                                                                                          |         28 |        965 |         27 |        140 |      1,132 |
| src\frameworks\data-services\mongo\model                                                                                                    |         25 |        654 |         27 |        126 |        807 |
| src\frameworks\data-services\mongo\model\centralUnit                                                                                        |          5 |        133 |          6 |         31 |        170 |
| src\frameworks\data-services\mongo\model\contracts                                                                                          |          2 |         50 |          1 |          8 |         59 |
| src\frameworks\data-services\mongo\model\hardwares                                                                                          |          6 |        103 |          6 |         24 |        133 |
| src\frameworks\data-services\mongo\model\logger                                                                                             |          1 |         20 |          1 |          4 |         25 |
| src\frameworks\data-services\mongo\model\permissions                                                                                        |          2 |         36 |          2 |          8 |         46 |
| src\frameworks\data-services\mongo\model\pumps                                                                                              |          1 |         33 |          1 |          4 |         38 |
